Name,Follower,pagerank_score,other_lang,avatar_url,repo_cnt
CyC2018,30,9.48,"CSS, Matlab, HTML, Shell, JavaScript",https://avatars3.githubusercontent.com/u/36260787?v=4,34
kwongtailau,22,9.48,"C++, C#, Go, Shell, C",https://avatars3.githubusercontent.com/u/22954582?v=4,18
linehk,5,9.48,"HTML, CSS, Go",https://avatars2.githubusercontent.com/u/8375793?v=4,30
crossoverJie,30,68.0,"Vue, CSS, Go, HTML, JavaScript",https://avatars3.githubusercontent.com/u/15684156?v=4,148
Lisanaaa,30,9.48,"Python, Go",https://avatars0.githubusercontent.com/u/28261876?v=4,4
Silverados,6,9.48,"HTML, JavaScript, CSS",https://avatars0.githubusercontent.com/u/27882942?v=4,40
MachineChen,0,9.48,"C, Shell",https://avatars0.githubusercontent.com/u/37149045?v=4,10
jy03078584,20,9.48,"Python, C",https://avatars0.githubusercontent.com/u/7719370?v=4,34
xiangflight,23,9.48,"HTML, C++, Python, Go, Jupyter Notebook, JavaScript",https://avatars1.githubusercontent.com/u/10072416?v=4,80
linkcoder,1,9.48,"Python, Visual Basic, Scala",https://avatars3.githubusercontent.com/u/21972676?v=4,12
xbhoneybee,9,9.48,C++,https://avatars0.githubusercontent.com/u/18543388?v=4,14
somone23412,17,9.48,"Python, Jupyter Notebook, C++",https://avatars0.githubusercontent.com/u/19647213?v=4,42
peierlong,3,24.65,"Python, Go, HTML, Shell, JavaScript",https://avatars2.githubusercontent.com/u/18136549?v=4,48
PualrDwade,7,9.48,"Vue, C++, Python, Jupyter Notebook, TypeScript, CSS, Go, HTML, JavaScript",https://avatars1.githubusercontent.com/u/36162683?v=4,120
HustCoderHu,30,9.48,"C++, Python, C, CMake, Go, HTML, Shell",https://avatars3.githubusercontent.com/u/18300226?v=4,64
yif-hong,1,9.48,"C++, Kotlin, Python, CSS, HTML, JavaScript",https://avatars2.githubusercontent.com/u/25526564?v=4,92
imhuster,30,9.48,"Python, JavaScript, CSS",https://avatars0.githubusercontent.com/u/13541953?v=4,18
linkwk7,5,9.48,"C++, Vim script, Go, HTML, C",https://avatars2.githubusercontent.com/u/28770278?v=4,24
fanofxiaofeng,30,9.48,"C++, Python, TeX, CSS, HTML, Shell, Batchfile, JavaScript",https://avatars0.githubusercontent.com/u/3983683?v=4,120
onefansofworld,2,9.48,"Python, Jupyter Notebook, C#, CoffeeScript, CSS, HTML, Shell, Scala, JavaScript",https://avatars0.githubusercontent.com/u/7973094?v=4,62
jiahaochang,0,9.48,"TypeScript, JavaScript",https://avatars0.githubusercontent.com/u/24975771?v=4,24
linw7,30,9.48,"C++, Python, C, CSS, Go, Shell, JavaScript",https://avatars1.githubusercontent.com/u/21679154?v=4,28
luocaodan,2,9.48,"C++, Python, C#, CSS, HTML, Shell, Ruby, JavaScript",https://avatars3.githubusercontent.com/u/22339284?v=4,32
mythsman,30,9.48,"HTML, C++, Python, C#, CSS, Jupyter Notebook, C, Scala, JavaScript",https://avatars1.githubusercontent.com/u/11818556?v=4,76
moqimoqidea,1,9.48,"Swift, C++, Groovy, Python, Jupyter Notebook, TeX, CSS, Go, HTML, Shell, Scala, JavaScript, PowerShell",https://avatars1.githubusercontent.com/u/39821951?v=4,150
weizongqun,0,9.48,"PHP, HTML, GCC Machine Description, JavaScript",https://avatars3.githubusercontent.com/u/15922971?v=4,10
ziyitony,3,9.48,"Python, C#, Go",https://avatars3.githubusercontent.com/u/18106851?v=4,20
seventheluck,4,9.48,"Python, HTML, JavaScript",https://avatars2.githubusercontent.com/u/35403428?v=4,36
AnyUncle,0,9.48,"C++, Python, Go, C",https://avatars0.githubusercontent.com/u/13564417?v=4,30
CmderQ,10,9.48,"Makefile, C++, Python, Go, PHP, HTML, Shell, JavaScript",https://avatars1.githubusercontent.com/u/9278467?v=4,120
Snailclimb,30,42.1,"Python, HTML",https://avatars0.githubusercontent.com/u/29880145?v=4,18
Goose9527,3,9.48,C++,https://avatars3.githubusercontent.com/u/43314997?v=4,6
dongzl,11,9.48,"Python, C, TSQL, Go, Makefile, HTML, Shell, JavaScript",https://avatars2.githubusercontent.com/u/5917359?v=4,116
yellowgg,2,9.48,CSS,https://avatars1.githubusercontent.com/u/27286340?v=4,14
illusorycloud,3,9.48,"CSS, Go, HTML, JavaScript",https://avatars0.githubusercontent.com/u/31980412?v=4,44
Gene1994,9,9.48,"C++, CSS, Ruby",https://avatars3.githubusercontent.com/u/24930369?v=4,48
ipofss,0,9.48,,https://avatars1.githubusercontent.com/u/8225921?v=4,4
LiWenGu,5,9.48,"Rust, Python, TypeScript, TeX, Dockerfile, CSS, Go, HTML, Shell, JavaScript",https://avatars0.githubusercontent.com/u/15909210?v=4,128
jinyahuan,12,9.48,"FreeMarker, HTML",https://avatars1.githubusercontent.com/u/17841662?v=4,18
yidasanqian,6,9.48,"Python, Rust, HTML",https://avatars3.githubusercontent.com/u/10655188?v=4,34
kinglaw1204,17,9.48,,https://avatars0.githubusercontent.com/u/20039931?v=4,16
cnLGMing,30,9.48,"Kotlin, Python, TSQL, CSS, Go, HTML, JavaScript",https://avatars2.githubusercontent.com/u/15910705?v=4,80
kevinwang0224,2,9.48,"HTML, CSS, Kotlin",https://avatars2.githubusercontent.com/u/13445354?v=4,26
jiayangchen,30,9.48,"Vue, C++, Python, Assembly, CSS, Go, Makefile, HTML, C, JavaScript",https://avatars0.githubusercontent.com/u/14312378?v=4,108
liurongdev,0,9.48,"C++, Python, Jupyter Notebook, CSS, Go, HTML, C",https://avatars2.githubusercontent.com/u/29250579?v=4,42
tianyu94,0,9.48,"Rust, Python, JavaScript, Shell, HTML, C, TypeScript",https://avatars1.githubusercontent.com/u/37231629?v=4,62
keepal7,10,9.48,,https://avatars2.githubusercontent.com/u/30037250?v=4,8
4Aiur,6,9.48,C#,https://avatars1.githubusercontent.com/u/14359997?v=4,2
sage417,7,9.48,"Python, JavaScript, Jupyter Notebook, Dockerfile, CSS, HTML, Shell, TypeScript",https://avatars1.githubusercontent.com/u/7111791?v=4,66
JoeMinty,6,9.48,"C++, Python, Shell, Dockerfile, CSS, Go, HTML, C, Ruby, JavaScript",https://avatars3.githubusercontent.com/u/9928362?v=4,92
20100507,28,68.0,"PHP, C++, Python, Lex, Ruby, C#, Dockerfile, C, Go, Perl, HTML, Batchfile, Scala, JavaScript",https://avatars1.githubusercontent.com/u/26719001?v=4,134
fanchenggang,10,9.48,"Vue, Kotlin, Go, HTML, JavaScript",https://avatars1.githubusercontent.com/u/20358122?v=4,48
hanandjun,6,9.48,"C++, Dart, Shell, Smali, Makefile, HTML, C, JavaScript",https://avatars2.githubusercontent.com/u/17228526?v=4,42
IceDarron,5,9.48,"HTML, Python, Jupyter Notebook, JavaScript",https://avatars1.githubusercontent.com/u/19837345?v=4,52
zeason,1,9.48,HTML,https://avatars2.githubusercontent.com/u/34996463?v=4,14
JerrySeven,0,9.48,"Python, Jupyter Notebook, TeX",https://avatars0.githubusercontent.com/u/43209747?v=4,18
jun1st,25,9.48,"Objective-C, Swift, Kotlin, Python, CoffeeScript, C, TSQL, CSS, PHP, HTML, Shell, Ruby, JavaScript",https://avatars2.githubusercontent.com/u/140474?v=4,350
Isolation-Lee,0,9.48,,https://avatars1.githubusercontent.com/u/51596015?v=4,6
iluwatar,30,17.63,"Python, Ruby",https://avatars1.githubusercontent.com/u/582346?v=4,12
npathai,30,9.48,"HTML, TypeScript, JavaScript",https://avatars2.githubusercontent.com/u/1792515?v=4,62
mikulucky,4,9.48,JavaScript,https://avatars0.githubusercontent.com/u/4526195?v=4,8
fluxw42,7,9.48,"PureBasic, HTML, C++, Arduino, Python, Assembly, TeX, Makefile, Shell, C, JavaScript",https://avatars1.githubusercontent.com/u/1545460?v=4,74
thomasoss,1,9.48,HTML,https://avatars1.githubusercontent.com/u/22516154?v=4,6
markusmo3,28,9.48,"C++, Groovy, Kotlin, C#, Lua, CSS, Shell",https://avatars1.githubusercontent.com/u/3317416?v=4,36
piyushchaudhari04,13,9.48,"Python, HTML, CSS",https://avatars3.githubusercontent.com/u/10268029?v=4,46
isabiq,0,9.48,Scala,https://avatars1.githubusercontent.com/u/19510920?v=4,14
inbravo,19,9.48,"Python, Haskell, Ruby, Jupyter Notebook, C, CSS, Makefile, HTML, Shell, Scala, JavaScript",https://avatars3.githubusercontent.com/u/5253764?v=4,298
Crossy147,10,9.48,"C, Scala, CSS",https://avatars2.githubusercontent.com/u/7272996?v=4,22
joshzambales,4,9.48,JavaScript,https://avatars1.githubusercontent.com/u/8704552?v=4,12
Argyro-Sioziou,22,9.48,TypeScript,https://avatars0.githubusercontent.com/u/22822639?v=4,8
kemitix,8,9.48,"Groovy, Python, Ruby, CSS, Go, HTML, Shell, Scala, JavaScript",https://avatars1.githubusercontent.com/u/1147749?v=4,130
nikhilbarar,0,9.48,"Python, PHP, JavaScript",https://avatars2.githubusercontent.com/u/37332144?v=4,22
